epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3568,2.20207,2.28125,1.93264,0.42076,0.42869,0.35027,0.11104,2.46381,1.98056,2.22784,0.000657895,0.000657895,0.000657895
2,109.391,2.01024,1.74094,1.74984,0.42229,0.43665,0.41612,0.15669,2.07225,1.81966,1.7534,0.00130817,0.00130817,0.00130817
3,175.973,1.9887,1.67994,1.72338,0.44813,0.43775,0.39637,0.15784,2.05322,2.04435,1.67704,0.00194195,0.00194195,0.00194195
4,230.979,1.96371,1.65927,1.71191,0.44512,0.50329,0.41297,0.14992,2.19014,1.90177,1.86051,0.00192575,0.00192575,0.00192575
5,288.834,1.91936,1.60693,1.68368,0.52761,0.52556,0.51489,0.20505,2.00595,1.80187,1.69068,0.001901,0.001901,0.001901
6,344.236,1.91912,1.61338,1.68382,0.52148,0.54406,0.51388,0.21314,1.96997,1.8318,1.71573,0.00187625,0.00187625,0.00187625
7,394.221,1.90875,1.56999,1.66449,0.50094,0.54594,0.49055,0.19939,1.97676,1.7766,1.66931,0.0018515,0.0018515,0.0018515
8,455.636,1.89081,1.5397,1.64987,0.49766,0.5428,0.49675,0.18054,2.17097,1.77842,1.83497,0.00182675,0.00182675,0.00182675
9,517.421,1.88944,1.54006,1.65095,0.45574,0.52775,0.45005,0.19173,1.95125,2.05054,1.64866,0.001802,0.001802,0.001802
10,569.632,1.86824,1.53046,1.64933,0.55934,0.56381,0.55868,0.22469,2.03536,1.58853,1.71038,0.00177725,0.00177725,0.00177725
11,631.137,1.86293,1.51128,1.63705,0.52564,0.57228,0.53694,0.21222,2.01903,1.61922,1.70147,0.0017525,0.0017525,0.0017525
12,682.46,1.82886,1.47607,1.62524,0.53984,0.53308,0.53644,0.21422,2.02165,1.61402,1.679,0.00172775,0.00172775,0.00172775
13,742.954,1.85351,1.49495,1.62609,0.55952,0.57573,0.56225,0.2467,1.9092,1.55323,1.60331,0.001703,0.001703,0.001703
14,796.946,1.8417,1.468,1.61059,0.54881,0.60834,0.58566,0.25135,1.88215,1.55387,1.59452,0.00167825,0.00167825,0.00167825
15,846.827,1.82028,1.45827,1.61302,0.509,0.54845,0.49947,0.18504,2.13163,1.72203,1.73739,0.0016535,0.0016535,0.0016535
16,894.051,1.81567,1.45532,1.60535,0.5407,0.57322,0.55552,0.24591,1.88635,1.66081,1.59152,0.00162875,0.00162875,0.00162875
17,947.28,1.81723,1.45911,1.60928,0.55407,0.58796,0.57777,0.22745,1.96319,1.60297,1.62073,0.001604,0.001604,0.001604
18,999.03,1.81006,1.43253,1.59994,0.50902,0.51458,0.48694,0.19079,2.10061,1.65548,1.71629,0.00157925,0.00157925,0.00157925
19,1062.13,1.79841,1.42594,1.59702,0.55149,0.58796,0.57209,0.24387,1.9215,1.58927,1.6071,0.0015545,0.0015545,0.0015545
20,1114.87,1.8017,1.42897,1.59736,0.57431,0.57197,0.57158,0.22892,1.97697,1.52355,1.6198,0.00152975,0.00152975,0.00152975
21,1177.16,1.78594,1.3983,1.5797,0.61492,0.57585,0.59995,0.25025,1.93932,1.5237,1.61722,0.001505,0.001505,0.001505
22,1228.28,1.78119,1.4105,1.57706,0.56628,0.54688,0.54499,0.21608,2.06081,1.57245,1.726,0.00148025,0.00148025,0.00148025
23,1278.11,1.77409,1.38785,1.58194,0.5437,0.55754,0.55287,0.22094,2.00636,1.60843,1.66084,0.0014555,0.0014555,0.0014555
24,1344.44,1.77973,1.37859,1.57207,0.55807,0.56193,0.5589,0.23162,1.98751,1.57652,1.64741,0.00143075,0.00143075,0.00143075
25,1396.87,1.76243,1.359,1.56781,0.55013,0.59423,0.5688,0.23664,1.99435,1.56324,1.65139,0.001406,0.001406,0.001406
26,1452.65,1.76198,1.371,1.57186,0.59245,0.59548,0.60779,0.24819,1.98015,1.46647,1.64976,0.00138125,0.00138125,0.00138125
27,1508.6,1.76567,1.37766,1.56953,0.54666,0.59862,0.56078,0.24017,1.92267,1.54148,1.58112,0.0013565,0.0013565,0.0013565
28,1564,1.73833,1.34637,1.55574,0.53799,0.56707,0.54065,0.23148,1.91285,1.63533,1.60795,0.00133175,0.00133175,0.00133175
29,1630.15,1.75574,1.34908,1.55968,0.57631,0.60615,0.6004,0.25222,1.92075,1.50569,1.59352,0.001307,0.001307,0.001307
30,1683.83,1.73443,1.31658,1.5369,0.57655,0.62684,0.61189,0.25024,1.97192,1.50584,1.63317,0.00128225,0.00128225,0.00128225
31,1737.75,1.73467,1.31132,1.54125,0.59316,0.59862,0.59915,0.25043,1.97525,1.45651,1.64294,0.0012575,0.0012575,0.0012575
32,1790.79,1.73674,1.31615,1.53577,0.58035,0.60082,0.60497,0.2277,2.08999,1.48889,1.71623,0.00123275,0.00123275,0.00123275
33,1837.14,1.72488,1.31986,1.53926,0.53043,0.60606,0.5506,0.24025,1.93916,1.51442,1.60643,0.001208,0.001208,0.001208
34,1896.59,1.715,1.31171,1.5298,0.54273,0.55096,0.53901,0.22132,2.03558,1.61085,1.66496,0.00118325,0.00118325,0.00118325
35,1961.05,1.72368,1.2946,1.52839,0.60024,0.59172,0.59813,0.24357,2.00368,1.47074,1.64734,0.0011585,0.0011585,0.0011585
36,2013.03,1.71134,1.29912,1.52577,0.54256,0.58137,0.55977,0.23044,1.96947,1.59469,1.60165,0.00113375,0.00113375,0.00113375
37,2084.77,1.713,1.28276,1.52146,0.62077,0.61905,0.63346,0.27833,1.92984,1.35879,1.61497,0.001109,0.001109,0.001109
38,2141,1.70908,1.26745,1.51833,0.54409,0.5519,0.54306,0.22474,2.01933,1.53411,1.6618,0.00108425,0.00108425,0.00108425
39,2193.54,1.69003,1.26369,1.51547,0.61492,0.60897,0.62933,0.26431,1.97229,1.41294,1.62069,0.0010595,0.0010595,0.0010595
40,2244,1.70185,1.27376,1.51439,0.5803,0.58922,0.59984,0.24016,2.00545,1.47799,1.64138,0.00103475,0.00103475,0.00103475
41,2301.34,1.69373,1.24979,1.50905,0.58502,0.59266,0.60015,0.25789,1.92032,1.45358,1.59145,0.00101,0.00101,0.00101
42,2351.03,1.67655,1.24569,1.51159,0.51864,0.5773,0.54347,0.23286,1.96804,1.68703,1.61599,0.00098525,0.00098525,0.00098525
43,2414.59,1.68801,1.24421,1.51432,0.6039,0.63405,0.62888,0.27227,1.91992,1.37622,1.59043,0.0009605,0.0009605,0.0009605
44,2477.86,1.66513,1.22086,1.50145,0.53768,0.59674,0.56568,0.23986,1.96681,1.57378,1.62918,0.00093575,0.00093575,0.00093575
